名称,種類,所在地,関連URL,写真,回収地区,回収日,回収品目,その他情報,コメント,経度,緯度
南庭  8,総合,大和市代官4-8  代官4丁目公園西側,,,回収地区9,A資源-毎月1・3回目金<BR>B資源-毎月2・4回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,150-B-1,139.4594264,35.4342047
上草柳東  5,総合,大和市上草柳1-7-25  ブロード大和,,,回収地区7,A資源-毎月1・3回目火<BR>B資源-毎月2・4回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,084-A-4,139.4590835,35.473372
南林間西南  11,総合,大和市西鶴間2-18-3  西鶴間5号公園,,,回収地区3,A資源-毎月1・3回目月<br>B資源-毎月2・4回目月<br>容器包装プラ-毎週水,A資源、B資源、容器包装プラ,,055-E-6,139.4479096,35.4858539
桜川  2,総合,大和市福田7-30  駐車場,,,回収地区9,A資源-毎月1・3回目金<BR>B資源-毎月2・4回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,128-E-2,139.4618001,35.4477828
上草柳東  3,総合,大和市上草柳4-4-20,,,回収地区7,A資源-毎月1・3回目火<br>B資源-毎月2・4回目火<br>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,083-G-1,139.4578743,35.4745033
中央七丁目  7,総合,大和市中央7-15  中央7丁目市民の森南西側,,,回収地区8,A資源-毎月2・4回目火<BR>B資源-毎月1・3回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,109-C-7,139.4649241,35.4585631
東原南  6,総合,大和市上草柳3-16  上草柳三丁目公園,,,回収地区7,A資源-毎月1・3回目火<BR>B資源-毎月2・4回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,083-E-3,139.4568544,35.4740965
三ツ和  14,総合,大和市深見東1-2-33  ホームセンターくろがねや大和深見店裏,,,回収地区8,A資源-毎月2・4回目火<br>B資源-毎月1・3回目火<br>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,086-E-4,139.4701022,35.4733538
三ツ和  15,総合,大和市大和東3-11-9  メイファースト駐車場,,,回収地区8,A資源-毎月2・4回目火<br>B資源-毎月1・3回目火<br>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,086-A-10,139.4674788,35.4706648
鶴間新町  23,総合,大和市中央林間西5-25  若葉公園横,,,回収地区1,A資源-毎月1・3回目木<br>B資源-毎月2・4回目木<br>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,027-D-2,139.4385883,35.5013231
新道下  13,総合,大和市福田5-5-1  セルピナ桜ヶ丘ランドヒルズ,,,回収地区9,A資源-毎月1・3回目金<BR>B資源-毎月2・4回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,129-F-10,139.4660761,35.4438634
南林間東南  17,総合（B）,大和市林間1-19-18,,,回収地区4,B資源-毎月1・3回目月,B資源のみ,A資源・容器包装プラの回収はありません,039-C-7,139.4553701,35.4944439
つきみ野  50,総合,大和市つきみ野2-5  アリーナつきみ野第2駐車場西側,,,回収地区2,A資源-毎月2・4回目木<br>B資源-毎月1・3回目木<br>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,033-D-2,139.46474,35.5013849
山王原上  8,総合,大和市下鶴間3000  緑の広場17号北側,,,回収地区4,A資源-毎月2・4回目月<BR>B資源-毎月1・3回目月<BR>容器包装プラ-毎週水,A資源、B資源、容器包装プラ,,039-F-4,139.4569401,35.495989
富士見  5,総合,大和市上草柳2-8-8  神島木材裏,,,回収地区7,A資源-毎月1・3回目火<BR>B資源-毎月2・4回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,091-D-4,139.4559381,35.4685885
下福田南部第二  5,総合,大和市福田1595,,,回収地区9,A資源-毎月1・3回目金<br>B資源-毎月2・4回目金<br>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,166-A-9,139.4681045,35.4215351
下福田南部第二  4,総合,大和市福田1579  タンポポ公園東側,,,回収地区9,A資源-毎月1・3回目金<br>B資源-毎月2・4回目金<br>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,165-G-7,139.4671042,35.4224894
下福田南部第二  3,総合,大和市福田1579  タンポポ公園西側,,,回収地区9,A資源-毎月1・3回目金<BR>B資源-毎月2・4回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,165-G-7,139.466628,35.4225645
大東  7,総合,大和市上草柳3-1-4  ウイング大和,,,回収地区7,A資源-毎月1・3回目火<br>B資源-毎月2・4回目火<br>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,083-F-7,139.4573258,35.4722276
大東  6,総合,大和市上草柳2-14　大東公園南側,,,回収地区7,A資源-毎月1・3回目火<BR>B資源-毎月2・4回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,083-E-10,139.4568919,35.4705831
公所  22,総合,大和市下鶴間5118,,,回収地区2,A資源-毎月2・4回目木<BR>B資源-毎月1・3回目木<BR>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,002-F-9,139.4618109,35.5162011
高等町第二  34,総合,大和市下和田896,,,回収地区10,A資源-毎月2・4回目金<BR>B資源-毎月1・3回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,160-D-10,139.4697305,35.4254757
鶴間新町  24,総合,大和市中央林間西6-4-5,,,回収地区1,A資源-毎月1・3回目木<br>B資源-毎月2・4回目木<br>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,025-F-8,139.4356435,35.4984321
南林間東北  6,総合,大和市林間2-21-14,,,回収地区4,A資源-毎月2・4回目月;br;B資源-毎月1・3回目月;br;容器包装プラ-毎週水,A資源、B資源、容器包装プラ,,038-E-5,139.4532268,35.4955307
公所  19,総合,大和市下鶴間432,,,回収地区2,A資源-毎月2・4回目木<BR>B資源-毎月1・3回目木<BR>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,013-A・B-1,139.463541,35.5105399
南林間西北  25,総合,大和市南林間7-15-15  公園入り口,,,回収地区3,A資源-毎月1・3回目月<br>B資源-毎月2・4回目月<br>容器包装プラ-毎週水,A資源、B資源、容器包装プラ,,043-H-8,139.4404095,35.4895294
つきみ野  181,総合,大和市つきみ野3-27-20  つきみ野第2パーキング北側,,,回収地区2,A資源-毎月2・4回目木<BR>B資源-毎月1・3回目木<BR>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,022-F-4,139.4617358,35.5049231
代官庭  8,総合,大和市代官2-6-1  サングレイス桜ヶ丘,,,回収地区9,A資源-毎月1・3回目金<br>B資源-毎月2・4回目金<br>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,142-F-3,139.4618439,35.4379428
公所  18,総合,大和市下鶴間5273,,,回収地区2,A資源-毎月2・4回目木<BR>B資源-毎月1・3回目木<BR>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,002-A-10,139.4584083,35.5157559
公所  23,総合,大和市下鶴間133-1  駐車場,,,回収地区2,A資源-毎月2・4回目木<br>B資源-毎月1・3回目木<br>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,006-H-2・3,139.4626643,35.5145844
相模大塚北  8,総合,大和市上草柳350-49  うららの国　桜森2号公園内,,,回収地区5,A資源-毎月1・3回目水<br>B資源-毎月2・4回目水<br>容器包装プラ-毎週木,A資源、B資源、容器包装プラ,,079-G-10,139.4404896,35.4703679
長堀  18,総合,大和市下鶴間2563,,,回収地区6,A資源-毎月2・4回目水<BR>B資源-毎月1・3回目水<BR>容器包装プラ-毎週木,A資源、B資源、容器包装プラ,,049-F-4,139.466044,35.4912884
下福田南部第一  4,総合,大和市福田1579,,,回収地区9,A資源-毎月1・3回目金<BR>B資源-毎月2・4回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,165-E-6,139.4661994,35.4226562
中央林間内山  29,総合,大和市中央林間6-13  （有）五十嵐電工の前,,,回収地区1,A資源-毎月1・3回目木<BR>B資源-毎月2・4回目木<BR>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,010-B-6,139.450703,35.5086897
山谷  8,総合,大和市下鶴間5288-10　きらめき公園内,,,回収地区2,A資源-毎月2・4回目木<BR>B資源-毎月1・3回目木<BR>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,024-B・C-2・3,139.4685195,35.5053334
下福田南部第三  10,総合,大和市福田1613-1,,,回収地区9,A資源-毎月1・3回目金<br>B資源-毎月2・4回目金<br>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,166-A-3,139.4678057,35.4242822
相模大塚北  9,総合,大和市桜森3-6-18  レジデンス山口,,,回収地区5,A資源-毎月1・3回目水<BR>B資源-毎月2・4回目水<BR>容器包装プラ-毎週木,A資源、B資源、容器包装プラ,,088-D-2,139.4431637,35.469505
山王原  23,総合,大和市下鶴間2956,,,回収地区6,A資源-毎月2・4回目水<BR>B資源-毎月1・3回目水<BR>容器包装プラ-毎週木,A資源、B資源、容器包装プラ,,048-G-2,139.4619502,35.4923009
草柳  11,総合,大和市草柳2-27-23,,,回収地区7,A資源-毎月1・3回目火<BR>B資源-毎月2・4回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,114-C-1,139.4600694,35.4568653
一之関  16,総合,大和市深見西6-2,,,回収地区6,A資源-毎月2・4回目水<BR>B資源-毎月1・3回目水<BR>容器包装プラ-毎週木,A資源、B資源、容器包装プラ,,067-B-8,139.4641364,35.4804949
高等町第四  33,総合,大和市渋谷5-21-1,,,回収地区10,A資源-毎月2・4回目金<BR>B資源-毎月1・3回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,152-A-10,139.4677211,35.4303072
下福田北部  23,総合,大和市福田1707-11,,,回収地区9,A資源-毎月1・3回目金<BR>B資源-毎月2・4回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,165-E-1,139.4658269,35.4252677
文化西  2,総合（A・B）,大和市西鶴間4-16-6  旧集積場所,,,回収地区5,A資源-毎月1・3回目水<br>B資源-毎月2・4回目水,A資源（布）、B資源（ペットボトル・白色トレイ）のみ,A資源（布以外）、B資源（ペットボトル・白色トレイ以外）、容器包装プラの回収はありません,064-A-8,139.4503884,35.4804121
山下  5,総合,大和市福田2-25-2,,,回収地区9,A資源-毎月1・3回目金<BR>B資源-毎月2・4回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,129-E-6,139.4654867,35.4455307
つきみ野  239,総合,大和市つきみ野3-4  大和高校南側道路,,,回収地区2,A資源-毎月2・4回目木<BR>B資源-毎月1・3回目木<BR>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,021-F-8,139.4574063,35.5031293
公所  24,総合,大和市下鶴間5133　高木公園東南,,,回収地区2,A資源-毎月2・4回目木<BR>B資源-毎月1・3回目木<BR>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,002-H-10,139.4622556,35.515625
公所  25,総合,大和市下鶴間5082,,,回収地区2,A資源-毎月2・4回目木<BR>B資源-毎月1・3回目木<BR>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,002-D-9,139.4601123,35.5163887
公所  27,総合,大和市下鶴間662-8  桜の散歩道の一部,,,回収地区2,A資源-毎月2・4回目木<BR>B資源-毎月1・3回目木<BR>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,013-D-6,139.4648919,35.5083798
高等町第二  35,総合,大和市渋谷8-6-1,,,回収地区10,A資源-毎月2・4回目金<BR>B資源-毎月1・3回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,160-A-7,139.4677962,35.4270993
柳橋  12,総合,大和市柳橋3-11-24　三井リパーク駐車場横の歩道脇,,,回収地区7,A資源-毎月1・3回目火<BR>B資源-毎月2・4回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,122-A-5,139.4676568,35.4504408
高等町第一  38,総合,大和市下和田1245,,,回収地区10,A資源-毎月2・4回目金<br>B資源-毎月1・3回目金<br>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,152-E-6,139.4703602,35.4318948
光丘  13,総合,大和市深見3824　大和化工(株)隣接,,,回収地区8,A資源-毎月2・4回目火<BR>B資源-毎月1・3回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,117-C-1,139.4735189,35.4568086
光丘  14,総合,大和市深見3882　市道上,,,回収地区8,A資源-毎月2・4回目火<BR>B資源-毎月1・3回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,116-D-1,139.4695055,35.456634
南林間西南  48,総合,大和市西鶴間6-30-11  西鶴間K1ガーデンズ,,,回収地区3,A資源-毎月1・3回目月<BR>B資源-毎月2・4回目月<BR>容器包装プラ-毎週水,A資源、B資源、容器包装プラ,,054-F-9,139.4436835,35.4844841
長堀  19,総合,大和市下鶴間2835,,,回収地区6,A資源-毎月2・4回目水<BR>B資源-毎月1・3回目水<BR>容器包装プラ-毎週木,A資源、B資源、容器包装プラ,,049-F-5,139.465969,35.4909916
下福田南部第四  6,総合,大和市福田26-11,,,回収地区9,A資源-毎月1・3回目金<BR>B資源-毎月2・4回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,163-E-6,139.4571169,35.4229617
高等町第二  39,総合,大和市渋谷7-26-6　サイクルプール西側,,,回収地区10,A資源-毎月2・4回目金<BR>B資源-毎月1・3回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,160-A-5,139.4681391,35.4280595
高等町第二  40,総合,大和市下和田893-2　エステート大和北側,,,回収地区10,A資源-毎月2・4回目金<BR>B資源-毎月1・3回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,166-D-2,139.4696769,35.4245417
つきみ野  27,総合,大和市つきみ野7-9  つきみ野3号公園西南角,,,回収地区2,A資源-毎月2・4回目木<br>B資源-毎月1・3回目木<br>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,012-A-2,139.4589358,35.5105349
高等町第二  41,総合,大和市渋谷7-16-13 高等町第二自治会防火倉庫隣,,,回収地区10,A資源-毎月2・4回目金<BR>B資源-毎月1・3回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,160-D-7,139.4695154,35.4268301
南林間東南  23,総合,大和市下鶴間3008-2　歩行者専用道路脇,,,回収地区4,A資源-毎月2・4回目月<BR>B資源-毎月1・3回目月<BR>容器包装プラ-毎週水,A資源、B資源、容器包装プラ,,039-C-7,139.4556059,35.4945574
中央林間新生  6,総合,大和市中央林間5-3-19-8,,,回収地区1,A資源-毎月1・3回目木<BR>B資源-毎月2・4回目木<BR>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,009-B-6,139.4465234,35.5082489
南林間西北  29,総合,大和市南林間5-9-14  資材置場,,,回収地区3,A資源-毎月1・3回目月<BR>B資源-毎月2・4回目月<BR>容器包装プラ-毎週水,A資源、B資源、容器包装プラ,,045-A-4,139.4454411,35.4911574
光丘  15,総合,大和市深見3601-42　さかいばし公園手前,,,回収地区8,A資源-毎月2・4回目火<BR>B資源-毎月1・3回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,111-C-6,139.4733153,35.4592004
高等町第一  42,総合,大和市渋谷7-4-4　ガードレール沿い,,,回収地区10,A資源-毎月2・4回目金<BR>B資源-毎月1・3回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,160-D-2,139.4697305,35.4291244
下福田南部第四  7,総合,大和市福田45-1,,,回収地区9,A資源-毎月1・3回目金<br>B資源-毎月2・4回目金<br>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,163-F-5,139.4574235,35.4233587
下福田南部第四  8,総合,大和市福田1272-12,,,回収地区9,A資源-毎月1・3回目金<BR>B資源-毎月2・4回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,164-A-3,139.4589763,35.4242274
桜ヶ丘  21,総合,大和市上和田951  金毘羅神社　境内ｰ2,,,回収地区10,A資源-毎月2・4回目金<br>B資源-毎月1・3回目金<br>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,130-F-2,139.4703694,35.4474283
宿  4,総合,大和市下鶴間2400,,,回収地区4,A資源-毎月2・4回目月<BR>B資源-毎月1・3回目月<BR>容器包装プラ-毎週水,A資源、B資源、容器包装プラ,,041-H-3,139.4669978,35.4961635
鶴間新町  28,総合,大和市中央林間西5-18,,,回収地区1,A資源-毎月1・3回目木<br>B資源-毎月2・4回目木<br>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,027-E-2,139.4389052,35.5010696
上ノ町  1,総合,大和市上和田663,,,回収地区10,A資源-毎月2・4回目金<BR>B資源-毎月1・3回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,117-G-8,139.475748,35.4536312
南林間西南  50,総合,大和市南林間2-5-12,,,回収地区3,A資源-毎月1・3回目月<BR>B資源-毎月2・4回目月<BR>容器包装プラ-毎週水,A資源、B資源、容器包装プラ,,055-H-4,139.4495938,35.4870591
鶴間新町  29,総合,大和市中央林間西5-7-33,,,回収地区1,A資源-毎月1・3回目木<BR>B資源-毎月2・4回目木<BR>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,027-F-6,139.4394879,35.4995722
つる・るＲＳ会  1,総合,大和市上草柳8-24,,,回収地区5,A資源-毎月1・3回目水<BR>B資源-毎月2・4回目水<BR>容器包装プラ-毎週木,A資源、B資源、容器包装プラ,,064-A-9,139.4503373,35.4802554
柳橋一丁目  9,総合,大和市柳橋1-21-34,,,回収地区8,A資源-毎月2・4回目火<br>B資源-毎月1・3回目火<br>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,109-E-9,139.4658835,35.4578365
高等町第二  43,総合,大和市渋谷7-15-6　 ローソン脇,,,回収地区10,A資源-毎月2・4回目金<BR>B資源-毎月1・3回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,160-D-8,139.4695698,35.4264883
子安  2,総合,大和市上草柳9-3,,,回収地区5,A資源-毎月1・3回目水<br>B資源-毎月2・4回目水<br>容器包装プラ-毎週木,A資源、B資源、容器包装プラ,,074-A-6,139.4502682,35.476844
下福田南部第三  1,総合,大和市福田1608-7,,,回収地区9,A資源-毎月1・3回目金<BR>B資源-毎月2・4回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,165-H-7,R7.3/1移設,139.4673434,35.4226104
下福田北部  24,総合,大和市福田1758,,,回収地区9,A資源-毎月1・3回目金<BR>B資源-毎月2・4回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,158-H-9,139.4629917,35.4261701
上草柳西  18,総合,大和市上草柳191-4　フォンターナII,,,回収地区5,A資源-毎月1・3回目水<br>B資源-毎月2・4回目水<br>容器包装プラ-毎週木,A資源、B資源、容器包装プラ,,081-H-10,139.4492987,35.4705886
代官庭  10,総合,大和市代官2-6-20,,,回収地区9,A資源-毎月1・3回目金<br>B資源-毎月2・4回目金<br>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,142-E-4,139.4611971,35.4376402
南林間西南  51,総合,大和市西鶴間7-13-18　グランテラス前,,,回収地区3,A資源-毎月1・3回目月<br>B資源-毎月2・4回目月<br>容器包装プラ-毎週水,A資源、B資源、容器包装プラ,,061-G-2,139.4403211,35.4831127
南林間西南  26,総合（A・B）,大和市西鶴間7-6-15  ショールマーシュII,,,回収地区3,A資源-毎月1・3回目月<BR>B資源-毎月2・4回目月,A資源、B資源のみ,容器包装プラの回収はありません,062-B-1,139.4421135,35.4836461
公所  33,総合,大和市下鶴間328-5,,,回収地区2,A資源-毎月2・4回目木<br>B資源-毎月1・3回目木<br>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,008-C-10,139.4641812,35.5114055
宮久保  5,総合,大和市上和田1313-2　上和田中学校北側,,,回収地区10,A資源-毎月2・4回目金<BR>B資源-毎月1・3回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,126-C-6,139.4823334,35.4459802
富士見  2,総合,大和市上草柳2-12-3,,,回収地区7,A資源-毎月1・3回目火<br>B資源-毎月2・4回目火<br>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,091-D-2,139.4559779,35.4698578
南林間西南  53,総合,大和市西鶴間6-16  防災公園北西側,,,回収地区3,A資源-毎月1・3回目月<BR>B資源-毎月2・4回目月<BR>容器包装プラ-毎週水,A資源、B資源、容器包装プラ,,054-A-6,139.4413419,35.4858633
代官庭  11,総合,大和市代官2-14  中央公園,,,回収地区9,A資源-毎月1・3回目金<br>B資源-毎月2・4回目金<br>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,142-C-3,139.4603611,35.4376554
谷戸頭  5,総合,大和市上和田1710-2,,,回収地区10,A資源-毎月2・4回目金<BR>B資源-毎月1・3回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,131-B-8,139.4728009,35.4450986
谷戸頭  6,総合,大和市上和田1692-15,,,回収地区10,A資源-毎月2・4回目金<BR>B資源-毎月1・3回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,137-B-1,139.4731224,35.443152
下福田北部  25,総合,大和市福田7004　三軒庭希望公園,,,回収地区9,A資源-毎月1・3回目金<BR>B資源-毎月2・4回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,158-E-9,139.4613447,35.426401
宮下  11,総合,大和市深見3378-1,,,回収地区8,A資源-毎月2・4回目火<br>B資源-毎月1・3回目火<br>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,105-G-3,139.4754789,35.46467
南林間西南  21,総合（B）,大和市西鶴間6-16  防災公園北東側,,,回収地区3,B資源-毎月2・4回目月,B資源のみ,A資源・容器包装プラの回収はありません,054-D-5,139.4428067,35.4863498
桜ヶ丘  23,総合,大和市上和田1701,,,回収地区10,A資源-毎月2・4回目金<br>B資源-毎月1・3回目金<br>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,131-D-5,139.4739909,35.4457083
桜森  16,総合,大和市桜森1-129-28,,,回収地区5,A資源-毎月1・3回目水<br>B資源-毎月2・4回目水<br>容器包装プラ-毎週木,A資源、B資源、容器包装プラ,,098-H-4,139.445247,35.46417
公所  35,総合,大和市下鶴間137-11と137-12の間,,,回収地区2,A資源-毎月2・4回目木<br>B資源-毎月1・3回目木<br>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,008-A-2,139.4630903,35.5147574
つきみ野  5,総合,大和市つきみ野1-6-8,,,回収地区2,A資源-毎月2・4回目木<br>B資源-毎月1・3回目木<br>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,032-F-4,139.4615612,35.5004528
鶴間新町 30,総合,大和市中央林間西5-15　Aristio中央林間,,,回収地区1,A資源ｰ毎月1・3回目木　B資源ｰ毎月2・4回目木　容器包装プラｰ毎週火,A資源、B資源、容器包装プラ,,027-D-4,139.4387454,35.5003442
三ツ和 17,総合,大和市深見台4-10-29-4,,,回収地区8,A資源ｰ毎月2・4回目火　B資源ｰ毎月1・3回目火　容器包装プラｰ毎週金,A資源、B資源、容器包装プラ,,094-E-1,139.4697518,35.4702616
下福田北部 27,総合,大和市福田7016　青空公園,,,回収地区9,A資源ｰ毎月1・3回目金　B資源ｰ毎月2・4回目金　容器包装プラｰ毎週土,A資源、B資源、容器包装プラ,,158-C-10,139.4606106,35.4256066
下福田南部第三 11,総合,大和市福田968-1　ソレアード北東角,,,回収地区9,A資源ｰ毎月1・3回目金　B資源ｰ毎月2・4回目金　容器包装プラｰ毎週土,A資源、B資源、容器包装プラ,,165-B-4,139.464115,35.4239874
公所 36,総合,大和市下鶴間118,,,回収地区2,A資源ｰ毎月2・4回目木　B資源ｰ毎月1・3回目木　容器包装プラｰ毎週火,A資源、B資源、容器包装プラ,,006-F-3,139.4611679,35.5142719
桜ヶ丘親和会 8,総合,大和市上和田1773　グリーンハイツ桜ヶ丘,,,回収地区10,A資源ｰ毎月2・4回目金　B資源ｰ毎月1・3回目金　容器包装プラｰ毎週土,A資源、B資源、容器包装プラ,,130-G-9,139.4709174,35.4440773
中央五丁目 9,総合,大和市中央5-2-26　ルミネ大和,,,回収地区7,A資源ｰ毎月1・3回目火　B資源ｰ毎月2・4回目火　容器包装プラｰ毎週金,A資源、B資源、容器包装プラ,,102-H-2,139.4625413,35.4650607
下福田南部第四 9,総合,大和市福田7028,,,回収地区9,A資源ｰ毎月1・3日目金　B資源ｰ毎月2・4回目金　容器包装プラｰ毎週土,A資源、B資源、容器包装プラ,,164-H-2,139.4627754,35.4244718
下福田北部 28,総合,大和市福田1760-1,,,回収地区9,A資源ｰ毎月1・3回目金　B資源ｰ毎月2・4回目金　容器包装プラｰ毎週土,A資源、B資源、容器包装プラ,,158-G-8,139.4622449,35.4265843
下福田北部 3,総合,大和市福田1244-1　のろっとバス停付近,,,回収地区9,A資源ｰ毎月1・3回目金　B資源ｰ毎月2・4回目金　容器包装プラｰ毎週土,A資源、B資源、容器包装プラ,,158-B-9,139.4599515,35.426078
光丘 16,総合,大和市深見3815-1　光丘自治会館前,,,回収地区8,A資源ｰ毎月2・4回目火　B資源ｰ毎月1・3回目火　容器包装プラｰ毎週金,A資源、B資源、容器包装プラ,,111-C-8,139.4735618,35.4578386
山谷 9,総合,大和市下鶴間6014-8,,,回収地区2,A資源ｰ毎月2・4回目木　B資源ｰ毎月1・3回目木　容器包装プラｰ毎週火,A資源、B資源、容器包装プラ,,034-F-3,139.4704968,35.5010911
谷戸頭 7,総合,大和市上和田1689-29,,,回収地区10,A資源-毎月2・4回目金<BR>B資源-毎月1・3回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,137-D-1,139.4739422,35.4431084
鶴間新町 3,総合,大和市中央林間西2-4-26　コーポルーチェ,,,回収地区1,A資源-毎月1・3回目木<BR>B資源-毎月2・4回目木<BR>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,036-C-4,139.4420814,35.4958667
つきみ野 254,総合,大和市つきみ野1-6-36,,,回収地区2,A資源ｰ毎月2・4回目木　B資源ｰ毎月1・3回目木　容器包装プラｰ毎週火,A資源、B資源、容器包装プラ,,032-B-5,139.4595657,35.4995373
入村 4,総合,大和市深見台3-6,,,回収地区8,A資源ｰ毎月2・4回目火　B資源ｰ毎月1・3回目火　容器包装プラｰ毎週金,A資源、B資源、容器包装プラ,,095ｰD-7,139.4735886,35.46741
慰霊塔公園 7,総合,大和市上草柳8-28-15,,,回収地区5,Ａ資源ｰ毎月1･3回目水<BR>Ｂ資源ｰ毎月2･4回目水<BR>容器包装プラｰ毎週木,Ａ資源、Ｂ資源、容器包装プラ,,064-D-8,139.4518114,35.4803325
山王原 15,総合,大和市下鶴間3036-6　ふじハイツ,,,回収地区6,A資源-毎月2・4回目水<BR>B資源-毎月1・3回目水<BR>容器包装プラ-毎週木,A資源、B資源、容器包装プラ,,040-A-10,139.4588852,35.4930516
南林間西南 40,総合,大和市南林間6-27 むつみ公園入口,,,回収地区3,A資源-毎月1･3回目月<BR>B資源-毎月2･4回目月<BR>容器包装プラ-毎週水,A資源、B資源、容器包装プラ,,053-G-6,139.440072,35.486016
下福田南部第四 10,総合,大和市福田1276,,,回収地区9,A資源-毎月1･3回目金<BR>B資源-毎月2･4回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,164-B-3,139.4596875,35.4239628
鶴間新町 34,総合,大和市中央林間西5-20付近道路,,,回収地区1,A資源-毎月1･3回目木<BR>B資源-毎月2･4回目木<BR>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,28-A-1,139.440999,35.501641
中央五丁目 13,総合,大和市中央5-2-25　ホーユウパレス大和,,,回収地区7,A資源-毎月1･3回目火<BR>B資源-毎月2･4回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,102-G-2,139.4621056,35.465171
