名称,種類,所在地,関連URL,写真,回収地区,回収日,回収品目,その他情報,コメント,経度,緯度
新道下  4,総合,大和市福田5-5-20  新道下自治会館,,,回収地区9,A資源-毎月1・3回目金<br>B資源-毎月2・4回目金<br>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,135-G-3,139.466821,35.4425018
新道下  5,総合,大和市福田5-5-30,,,回収地区9,A資源-毎月1・3回目金<BR>B資源-毎月2・4回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,135-E-1,139.4657493,35.4433091
新道下  11,総合,大和市福田6-10-4  福田霊苑西側エステート山下東側,,,回収地区9,A資源-毎月1・3回目金<BR>B資源-毎月2・4回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,135-B-4,139.4638738,35.4418557
新道下  7,総合,大和市福田6-1-20  セントヒルズ桜ヶ丘,,,回収地区9,A資源-毎月1・3回目金<BR>B資源-毎月2・4回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,135-B-1,139.4641203,35.4430778
新道下  6,総合,大和市福田5-3-2　クリアシャンテI,,,回収地区9,A資源-毎月1・3回目金<br>B資源-毎月2・4回目金<br>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,129-H-9,139.4671148,35.4436035
深見境橋  1,総合,大和市深見3702,,,回収地区8,A資源-毎月2・4回目火<br>B資源-毎月1・3回目火<br>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,111-E-5,139.4741843,35.4593717
深見台深交会  1,総合,大和市深見台4-1  深交会自治会館,,,回収地区8,A資源-毎月2・4回目火<br>B資源-毎月1・3回目火<br>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,094-D-4,139.4692429,35.4689984
深見中原  5,総合,大和市深見西1-5  日本ラインツ(株),,,回収地区8,A資源-毎月2・4回目火<BR>B資源-毎月1・3回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,084-H-3,139.4624378,35.4737081
深見中原  4,総合,大和市深見西2-5,,,回収地区8,A資源-毎月2・4回目火<BR>B資源-毎月1・3回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,085-E-1,139.4654974,35.4745984
深見中原  6,総合,大和市深見西2-6-9,,,回収地区8,A資源-毎月2・4回目火<br>B資源-毎月1・3回目火<br>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,077-H-10,139.4673221,35.475322
深見中原  3,総合,大和市深見西3-1-22,,,回収地区8,A資源-毎月2・4回目火<BR>B資源-毎月1・3回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,076-G-9,139.4621431,35.475803
深見中原  2,総合,大和市深見西4丁目１<BR>ぼーる遊びもできる公園,,,回収地区8,A資源-毎月2・4回目火<BR>B資源-毎月1・3回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,077-A-5,139.4631237,35.4774746
深友会  1,総合,大和市深見台2-5  公園,,,回収地区8,A資源-毎月2・4回目火<br>B資源-毎月1・3回目火<br>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,105-A-1,139.4719067,35.4656813
深和会  1,総合,大和市深見台4-6  深見台第5児童遊園,,,回収地区8,A資源-毎月2・4回目火<br>B資源-毎月1・3回目火<br>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,094-F-3,139.4706577,35.4692
生協福田  2,総合,大和市福田3738  田中5号公園南西外側,,,回収地区9,A資源-毎月1・3回目金<BR>B資源-毎月2・4回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,150-B-1,139.45978,35.4342004
生協福田  1,総合,大和市福田3638,,,回収地区9,A資源-毎月1・3回目金<BR>B資源-毎月2・4回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,150-C-2,139.4601015,35.4335457
生協福田  3,総合,大和市福田3668  相模緑建（株）,,,回収地区9,A資源-毎月1・3回目金<BR>B資源-毎月2・4回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,150-B-5,139.4593621,35.4321665
西鶴間小田急  1,総合,大和市西鶴間4-5,,,回収地区5,A資源-毎月1・3回目水<br>B資源-毎月2・4回目水<br>容器包装プラ-毎週木,A資源、B資源、容器包装プラ,,064-A-4,139.4503901,35.4824429
西鶴間小田急  3,総合,大和市西鶴間4-12-38  つるかめらんど西鶴間店,,,回収地区5,A資源-毎月1・3回目水<BR>B資源-毎月2・4回目水<BR>容器包装プラ-毎週木,A資源、B資源、容器包装プラ,,063-H-4,139.4491705,35.482184
西鶴間小田急  2,総合,大和市西鶴間4-13-12,,,回収地区5,A資源-毎月1・3回目水<BR>B資源-毎月2・4回目水<BR>容器包装プラ-毎週木,A資源、B資源、容器包装プラ,,063-F-6,139.4485864,35.481394
西鶴間小田急  9,総合,大和市西鶴間4-14-13  小林ハイツ駐車場,,,回収地区5,A資源-毎月1・3回目水<BR>B資源-毎月2・4回目水<BR>容器包装プラ-毎週木,A資源、B資源、容器包装プラ,,063-H-7,139.4494223,35.4812369
西鶴間小田急  4,総合,大和市西鶴間4-14-6,,,回収地区5,A資源-毎月1・3回目水<BR>B資源-毎月2・4回目水<BR>容器包装プラ-毎週木,A資源、B資源、容器包装プラ,,063-G-8,139.4489829,35.4805734
西鶴間第一  1,総合,大和市西鶴間1-17-1,,,回収地区6,A資源-毎月2・4回目水<br>B資源-毎月1・3回目水<br>容器包装プラ-毎週木,A資源、B資源、容器包装プラ,,056-E-6,139.4526792,35.4858698
西鶴間第一  2,総合,大和市西鶴間1-22-20  駐車場,,,回収地区6,A資源-毎月2・4回目水<BR>B資源-毎月1・3回目水<BR>容器包装プラ-毎週木,A資源、B資源、容器包装プラ,,056-D-3,139.4518121,35.4871552
西鶴間第一  3,総合,大和市西鶴間1-3-6  りそな銀行隣 駐車場,,,回収地区6,A資源-毎月2・4回目水<BR>B資源-毎月1・3回目水<BR>容器包装プラ-毎週木,A資源、B資源、容器包装プラ,,056-G-3,139.4530982,35.4873996
西鶴間第二  5,総合,大和市西鶴間2-11-17,,,回収地区3,A資源-毎月1・3回目月<BR>B資源-毎月2・4回目月<BR>容器包装プラ-毎週水,A資源、B資源、容器包装プラ,,056-A-8,139.4500332,35.4850645
